,count,mean,std,min,25%,50%,75%,max
"IC50, mM",1001.0,222.8051558813127,402.1697344286017,0.003516694,12.51539592,46.58518346,224.9759276,4128.529377
"CC50, mM",1001.0,589.1107281066743,642.8675083286192,0.700807913,99.9990355,411.0393423,894.0891765,4538.976189
SI,1001.0,72.50882294964634,684.482738753057,0.011489269,1.433333333,3.846153846,16.56666667,15620.6
