target,feature,pearson,abs
"IC50, mM",NumSaturatedHeterocycles,0.2725075262982105,0.2725075262982105
"IC50, mM",VSA_EState4,-0.25891152890843583,0.25891152890843583
"IC50, mM",fr_NH2,-0.2578800592318519,0.2578800592318519
"IC50, mM",SlogP_VSA5,-0.23844099738391708,0.23844099738391708
"IC50, mM",NumAliphaticHeterocycles,0.2256044391795886,0.2256044391795886
"IC50, mM",NumAliphaticCarbocycles,-0.2132128573590919,0.2132128573590919
"IC50, mM",SMR_VSA5,-0.20529551115728276,0.20529551115728276
"IC50, mM",PEOE_VSA7,-0.20132411406015321,0.20132411406015321
"IC50, mM",VSA_EState8,-0.192767944506617,0.192767944506617
"IC50, mM",VSA_EState7,-0.18379429576409878,0.18379429576409878
"IC50, mM",BCUT2D_MWLOW,0.18336703053298212,0.18336703053298212
"IC50, mM",SMR_VSA4,-0.183188267972573,0.183188267972573
"IC50, mM",NumRotatableBonds,-0.18312394509758254,0.18312394509758254
"IC50, mM",EState_VSA8,-0.17712552522235475,0.17712552522235475
"IC50, mM",NumAromaticHeterocycles,0.17668006321513333,0.17668006321513333
"CC50, mM",Kappa3,-0.2517953207486136,0.2517953207486136
"CC50, mM",fr_allylic_oxid,-0.22935818736116026,0.22935818736116026
"CC50, mM",fr_NH2,-0.22611233941956244,0.22611233941956244
"CC50, mM",PEOE_VSA7,-0.21606559699810893,0.21606559699810893
"CC50, mM",Kappa2,-0.20733002823307917,0.20733002823307917
"CC50, mM",EState_VSA2,-0.205662751876839,0.205662751876839
"CC50, mM",fr_C_O_noCOO,-0.19859287299549208,0.19859287299549208
"CC50, mM",Kappa1,-0.19730337137282092,0.19730337137282092
"CC50, mM",VSA_EState4,-0.19605082463891466,0.19605082463891466
"CC50, mM",fr_C_O,-0.19453614404610867,0.19453614404610867
"CC50, mM",NHOHCount,-0.19042704835748153,0.19042704835748153
"CC50, mM",MolMR,-0.18273643714218346,0.18273643714218346
"CC50, mM",fr_NH1,-0.1826779493551754,0.1826779493551754
"CC50, mM",PEOE_VSA6,-0.18001400891788624,0.18001400891788624
"CC50, mM",Chi0n,-0.17872477677922474,0.17872477677922474
SI,FractionCSP3,0.22225948651804303,0.22225948651804303
SI,SMR_VSA7,-0.21997944025814026,0.21997944025814026
SI,SlogP_VSA6,-0.2053858592681633,0.2053858592681633
SI,NumAliphaticHeterocycles,-0.20365645602919807,0.20365645602919807
SI,NumSaturatedHeterocycles,-0.19714645545295814,0.19714645545295814
SI,RingCount,-0.19607077601852993,0.19607077601852993
SI,fr_Imine,0.19327973743121585,0.19327973743121585
SI,NumAromaticRings,-0.188422401398094,0.188422401398094
SI,VSA_EState6,-0.18680900759944766,0.18680900759944766
SI,fr_NH2,0.17740212179032117,0.17740212179032117
SI,HallKierAlpha,0.17651575439101774,0.17651575439101774
SI,VSA_EState8,0.17526668120299096,0.17526668120299096
SI,NumAromaticCarbocycles,-0.17460379516776153,0.17460379516776153
SI,fr_benzene,-0.17460379516776153,0.17460379516776153
SI,BertzCT,-0.17295629523678685,0.17295629523678685
