model,cv_score,holdout_MAE,holdout_RMSE,holdout_R2,best_params
random_forest,-1.2004946745536607,0.805087600526277,1.0867465976051627,0.5107158164049028,"{""n_estimators"": 660, ""max_depth"": 23, ""min_samples_split"": 7, ""min_samples_leaf"": 2, ""max_features"": ""sqrt""}"
xgboost,-1.2059812449212932,0.7767095964822046,1.0653233947780543,0.5298163451774683,"{""n_estimators"": 232, ""learning_rate"": 0.01726850944036533, ""max_depth"": 6, ""subsample"": 0.6352417392429572, ""colsample_bytree"": 0.6521655870646541, ""reg_lambda"": 2.4548936670588106}"
knn,-1.217207042137812,0.7645524249912061,1.111451909037105,0.48821688766285454,"{""n_neighbors"": 10, ""weights"": ""distance"", ""p"": 1}"
lightgbm,-1.2196970562947524,0.7717306346490705,1.0745374178490166,0.5216478996032927,"{""n_estimators"": 448, ""learning_rate"": 0.010030370897205581, ""num_leaves"": 38, ""max_depth"": 10, ""subsample"": 0.6013018947593807, ""colsample_bytree"": 0.6210057549768598, ""reg_lambda"": 0.002688159611932772}"
grad_boosting,-1.221310252676973,0.8004632773581258,1.0881823579627858,0.509422122202156,"{""n_estimators"": 207, ""learning_rate"": 0.014422490153009046, ""max_depth"": 5, ""subsample"": 0.8888560354697392}"
elastic_net,-1.34712022701864,1.0457353481762397,1.3160417074807682,0.2824636537962032,"{""alpha"": 0.11778986533056508, ""l1_ratio"": 0.7331983444045208}"
ridge,-1.3738967125975858,1.0098720955773368,1.2845660127470933,0.3163757605690961,"{""alpha"": 989.1364113904857}"
