model,cv_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,best_params
random_forest,0.7277968749999999,0.6567164179104478,0.6867469879518072,0.57,0.6229508196721312,0.704009900990099,"{""n_estimators"": 217, ""max_depth"": 24, ""min_samples_split"": 5, ""min_samples_leaf"": 7, ""max_features"": 0.5}"
xgboost,0.7277656250000001,0.6666666666666666,0.7037037037037037,0.57,0.6298342541436464,0.7082673267326733,"{""n_estimators"": 310, ""learning_rate"": 0.010178822187355201, ""max_depth"": 6, ""subsample"": 0.726969504999355, ""colsample_bytree"": 0.8053626232772724, ""reg_lambda"": 9.89401047447308}"
grad_boosting,0.7230156249999999,0.6467661691542289,0.6559139784946236,0.61,0.6321243523316062,0.6657920792079207,"{""n_estimators"": 352, ""learning_rate"": 0.013940346079873234, ""max_depth"": 6, ""subsample"": 0.7760609974958405}"
lightgbm,0.722734375,0.6318407960199005,0.6382978723404256,0.6,0.6185567010309279,0.6761881188118811,"{""n_estimators"": 334, ""learning_rate"": 0.044191797132022294, ""num_leaves"": 77, ""max_depth"": 9, ""subsample"": 0.8567263296181078, ""colsample_bytree"": 0.6683689456228509, ""reg_lambda"": 9.017512946831696}"
knn,0.7116250000000001,0.6567164179104478,0.6448598130841121,0.69,0.6666666666666666,0.6692079207920792,"{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1}"
logreg,0.6829531249999999,0.6467661691542289,0.6559139784946236,0.61,0.6321243523316062,0.662920792079208,"{""C"": 0.05701256861337163}"
