model,cv_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,best_params
grad_boosting,0.8484628970346929,0.7164179104477612,0.6837606837606838,0.8,0.7373271889400922,0.8319801980198019,"{""n_estimators"": 322, ""learning_rate"": 0.010093922841420749, ""max_depth"": 3, ""subsample"": 0.8625498559408429}"
random_forest,0.8469005435419596,0.6865671641791045,0.6581196581196581,0.77,0.7096774193548387,0.8199009900990099,"{""n_estimators"": 545, ""max_depth"": 23, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""max_features"": ""sqrt""}"
lightgbm,0.8444471938974839,0.6915422885572139,0.6637931034482759,0.77,0.7129629629629629,0.8328712871287128,"{""n_estimators"": 246, ""learning_rate"": 0.01048403298295551, ""num_leaves"": 35, ""max_depth"": 5, ""subsample"": 0.6030736851135085, ""colsample_bytree"": 0.6953847120179248, ""reg_lambda"": 0.0012246651174215798}"
xgboost,0.8408688882051883,0.6865671641791045,0.6581196581196581,0.77,0.7096774193548387,0.8355445544554456,"{""n_estimators"": 280, ""learning_rate"": 0.03080822347276954, ""max_depth"": 4, ""subsample"": 0.6617183365821414, ""colsample_bytree"": 0.600696650894021, ""reg_lambda"": 4.88807587966499}"
knn,0.8318062319307703,0.6865671641791045,0.6761904761904762,0.71,0.6926829268292682,0.7881188118811882,"{""n_neighbors"": 8, ""weights"": ""uniform"", ""p"": 1}"
logreg,0.8228691421511174,0.7114427860696517,0.675,0.81,0.7363636363636363,0.8284158415841585,"{""C"": 0.019855743349658193}"
