feature,importance
FractionCSP3,0.04238881430706678
BCUT2D_MRLOW,0.03798667678918726
BCUT2D_CHGLO,0.02980596167357311
VSA_EState4,0.028011963985431088
qed,0.026550007775851828
MaxAbsEStateIndex,0.02621788118654241
MinEStateIndex,0.022166768106396437
HallKierAlpha,0.020051621524554916
BCUT2D_MWLOW,0.01948693634016274
FpDensityMorgan3,0.019212368300155637
SlogP_VSA5,0.01898861122308716
BCUT2D_LOGPHI,0.0168389497565451
SMR_VSA7,0.01683619823165476
BCUT2D_MWHI,0.015702257190388494
VSA_EState2,0.015573696521769233
MolLogP,0.015124631326394458
SPS,0.015013291723812034
BCUT2D_CHGHI,0.014768694130784587
MinAbsEStateIndex,0.014653228942618042
EState_VSA2,0.014359759320281903
BCUT2D_MRHI,0.014359087006805413
NHOHCount,0.014162779162317183
MinPartialCharge,0.013814321134859222
Kappa3,0.013793572064044055
Ipc,0.013500772386666056
PEOE_VSA6,0.013321492890003263
NumSaturatedCarbocycles,0.013315566961262397
FpDensityMorgan1,0.013308261211752614
VSA_EState3,0.013091823266523831
PEOE_VSA9,0.013086804887650159
