model,cv_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,best_params
random_forest,0.8204062499999999,0.7114427860696517,0.675,0.81,0.7363636363636363,0.7791584158415842,"{""n_estimators"": 355, ""max_depth"": 15, ""min_samples_split"": 6, ""min_samples_leaf"": 2, ""max_features"": ""log2""}"
xgboost,0.8153124999999999,0.7014925373134329,0.6724137931034483,0.78,0.7222222222222222,0.781039603960396,"{""n_estimators"": 350, ""learning_rate"": 0.010122111129909909, ""max_depth"": 9, ""subsample"": 0.7382774980993067, ""colsample_bytree"": 0.7874820875551369, ""reg_lambda"": 0.5096502392023174}"
grad_boosting,0.8147812499999999,0.7014925373134329,0.6785714285714286,0.76,0.7169811320754716,0.7625247524752475,"{""n_estimators"": 345, ""learning_rate"": 0.013978637451179872, ""max_depth"": 8, ""subsample"": 0.7038410099482657}"
lightgbm,0.81015625,0.7064676616915423,0.6752136752136753,0.79,0.728110599078341,0.7826237623762377,"{""n_estimators"": 414, ""learning_rate"": 0.026000059117302653, ""num_leaves"": 76, ""max_depth"": 0, ""subsample"": 0.9208787923016158, ""colsample_bytree"": 0.6298202574719083, ""reg_lambda"": 8.862326508576256}"
knn,0.7909062499999999,0.6766169154228856,0.6635514018691588,0.71,0.6859903381642513,0.7161386138613861,"{""n_neighbors"": 6, ""weights"": ""distance"", ""p"": 1}"
logreg,0.74975,0.6965174129353234,0.6756756756756757,0.75,0.7109004739336493,0.7490594059405941,"{""C"": 0.04638430320044685}"
