model,cv_score,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,best_params
xgboost,0.74052120592744,0.7313432835820896,0.6666666666666666,0.5,0.5714285714285714,0.7441322136089579,"{""n_estimators"": 419, ""learning_rate"": 0.015052691022225199, ""max_depth"": 9, ""subsample"": 0.7068797815122686, ""colsample_bytree"": 0.783474070381836, ""reg_lambda"": 9.212672557701866}"
random_forest,0.7393289047862373,0.7014925373134329,0.5857142857142857,0.5694444444444444,0.5774647887323944,0.7562984496124031,"{""n_estimators"": 292, ""max_depth"": 25, ""min_samples_split"": 12, ""min_samples_leaf"": 10, ""max_features"": 0.5}"
grad_boosting,0.7365014477942429,0.6865671641791045,0.576271186440678,0.4722222222222222,0.5190839694656488,0.7276593453919036,"{""n_estimators"": 405, ""learning_rate"": 0.0189060109838466, ""max_depth"": 5, ""subsample"": 0.8281435587551033}"
lightgbm,0.7348662919434508,0.681592039800995,0.5526315789473685,0.5833333333333334,0.5675675675675675,0.7405792420327304,"{""n_estimators"": 538, ""learning_rate"": 0.02164133430338479, ""num_leaves"": 90, ""max_depth"": 3, ""subsample"": 0.857552804293137, ""colsample_bytree"": 0.7942132452248342, ""reg_lambda"": 0.043852132367571336}"
knn,0.7228410832907513,0.7114427860696517,0.625,0.4861111111111111,0.546875,0.7445628768303187,"{""n_neighbors"": 8, ""weights"": ""uniform"", ""p"": 1}"
logreg,0.7040367910066427,0.6567164179104478,0.5164835164835165,0.6527777777777778,0.5766871165644172,0.678348406546081,"{""C"": 0.026194298576063584}"
