model,cv_score,holdout_MAE,holdout_RMSE,holdout_R2,best_params
xgboost,-1.3218782524396504,1.0164142908120015,1.2824669086277867,0.41553102940746045,"{""n_estimators"": 256, ""learning_rate"": 0.02336464833504746, ""max_depth"": 4, ""subsample"": 0.6622504841634067, ""colsample_bytree"": 0.8177128277189859, ""reg_lambda"": 9.190464778775317}"
random_forest,-1.3274979669713987,1.0259644051601091,1.2887493645544952,0.409790695144441,"{""n_estimators"": 490, ""max_depth"": 19, ""min_samples_split"": 11, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}"
grad_boosting,-1.3285606124831764,1.0227900995676638,1.2787425908581853,0.41892072701485594,"{""n_estimators"": 256, ""learning_rate"": 0.01633944523707526, ""max_depth"": 5, ""subsample"": 0.6344146163236095}"
lightgbm,-1.3410705709765893,1.1038822591567277,1.3595148084908206,0.3431941554050102,"{""n_estimators"": 690, ""learning_rate"": 0.01369787745500144, ""num_leaves"": 60, ""max_depth"": 2, ""subsample"": 0.8119760568607329, ""colsample_bytree"": 0.8212139396819587, ""reg_lambda"": 0.0033758711963460734}"
knn,-1.361055814674305,1.0645913631425052,1.3626672915270253,0.34014458225026223,"{""n_neighbors"": 10, ""weights"": ""uniform"", ""p"": 1}"
ridge,-1.4492765786545303,1.271214554927045,1.8758184110642082,-0.2504050297457079,"{""alpha"": 337.72455236664575}"
elastic_net,-1.4667551237606342,1.2664586651908705,1.809089643375724,-0.16302566477215064,"{""alpha"": 0.05060156726054766, ""l1_ratio"": 0.648112381037909}"
