model,cv_score,holdout_MAE,holdout_RMSE,holdout_R2,best_params
random_forest,-0.9352360892509435,0.7448408419628928,0.9319506737137967,0.17143975396474542,"{""n_estimators"": 528, ""max_depth"": 16, ""min_samples_split"": 7, ""min_samples_leaf"": 4, ""max_features"": ""log2""}"
lightgbm,-0.9408491869468627,0.7722779788048166,0.950854756794997,0.13748510081130527,"{""n_estimators"": 200, ""learning_rate"": 0.010089184079966953, ""num_leaves"": 15, ""max_depth"": 5, ""subsample"": 0.7242757678791986, ""colsample_bytree"": 0.7967476215306789, ""reg_lambda"": 0.43567423480570633}"
grad_boosting,-0.9415453972006217,0.7730386828857729,0.9481037609689634,0.142468706216614,"{""n_estimators"": 267, ""learning_rate"": 0.010093922841420749, ""max_depth"": 3, ""subsample"": 0.8802082282893302}"
xgboost,-0.9444013685852181,0.7553022483483481,0.9381348222371049,0.16040710977118622,"{""n_estimators"": 272, ""learning_rate"": 0.010008918931848836, ""max_depth"": 4, ""subsample"": 0.6587629699019539, ""colsample_bytree"": 0.8882259294432265, ""reg_lambda"": 2.048731836617266}"
knn,-0.9594558887123839,0.7634388817012883,0.9548770956239896,0.1301723852174408,"{""n_neighbors"": 11, ""weights"": ""uniform"", ""p"": 1}"
ridge,-0.9618197911794034,0.7967199175446267,0.9873774210633298,0.06995358634614168,"{""alpha"": 266.014724121167}"
elastic_net,-0.9662050511946859,0.8120281266617592,0.9826923855588126,0.07875865487610612,"{""alpha"": 0.4798234850669816, ""l1_ratio"": 0.026368084405807735}"
