task,target,best_model,elapsed_sec,holdout_MAE,holdout_RMSE,holdout_R2,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc
regression_ic50,"IC50, mM",xgboost,380.8,1.0164142908120015,1.2824669086277867,0.41553102940746045,,,,,
regression_cc50,"CC50, mM",random_forest,464.3,0.805087600526277,1.0867465976051627,0.5107158164049028,,,,,
regression_si,SI,random_forest,321.1,0.7448408419628928,0.9319506737137967,0.1714397539647453,,,,,
classification_ic50_median,"IC50, mM",random_forest,454.9,,,,0.7114427860696517,0.675,0.81,0.7363636363636363,0.7791584158415842
classification_cc50_median,"CC50, mM",grad_boosting,318.4,,,,0.7164179104477612,0.6837606837606838,0.8,0.7373271889400922,0.8319801980198019
classification_si_median,SI,random_forest,446.1,,,,0.6567164179104478,0.6867469879518072,0.57,0.6229508196721312,0.704009900990099
classification_si_gt8,SI,xgboost,415.9,,,,0.7313432835820896,0.6666666666666666,0.5,0.5714285714285714,0.7441322136089579
